"Garotos do Subúrbio";"Inocentes";1;1;"1985-01-01";0
"AudioArena Originals";"Inocentes";1;1;"2018-01-01";0
"Antes do Fim";"Inocentes";1;1;"2024-01-01";0
"20 Anos Ao Vivo";"Inocentes";3;1;"2002-01-01";0
"Queima!";"Inocentes";2;1;"2022-01-01";0
"Não Acordem a Cidade (Acústico)";"Inocentes";2;1;"2024-01-01";0
"1.9.9.2.";"Cólera";1;1;"1984-01-01";0
"Primeiros Sintomas";"Cólera",1;1;"2006-01-01";0
"Dê o Fora";"Cólera";2;1;"1986-01-01";0
"É Natal!!?";"Cólera";2;1;"1987-01-01";0
"Está na Hora de Mudar";"Cólera";2;1;"2023-01-01";0
"Essa Tal de Gang 90 e as Absurdettes";"Gang 90 e as Absurdettes";1;1;"1983-01-01";0
"Rosas & Tigres";"Gang 90 e as Absurdettes";1;1;"1985-01-01";0
"Pedra 90";"Gang 90 e as Absurdettes";1;1;"1987-01-01";0
"Entertainment!";"Gang of Four";1;1;"1979-09-25";0
"Solid Gold";"Gang of Four";1;1;"1981-03-01";0
"Songs of the Free";"Gang of Four";1;1;"1982-05-01";0
"Hard";"Gang of Four";1;1;"1983-09-01";0
"Mall";"Gang of Four";1;1;"1991-01-01";0
"Shrinkwrapped";"Gang of Four";1;1;"1995-01-01";0
"Return the Gift";"Gang of Four";1;1;"2005-01-01";0
"Content";"Gang of Four";1;1;"2011-01-25";0
"What Happens Next";"Gang of Four";1;1;"2015-01-01";0
"Happy Now";"Gang of Four";1;1;"2019-01-01";0
"Yellow";"Gang of Four";2;1;"1980-10-01";0
"Another Day/Another Dollar";"Gang of Four";2;1;"1982-01-19";0
"The Peel Sessions";"Gang of Four";2;1;"1986-10-01";0
"To Hell with Poverty (The Loaded Remix EP)";"Gang of Four";2;1;"1991-01-01";0
"Die Staubkorn Sammlung";"Gang of Four";2;1;"2015-08-07";0
"Complicit";"Gang of Four";2;1;"2018-04-20";0
"This Heaven Gives Me Migraine";"Gang of Four";2;1;"2020-04-26";0
"Anti Hero";"Gang of Four";2;1;"2020-07-17";0
"At the Palace";"Gang of Four";3;1;"1984-01-01";0
"Live…In the Moment";"Gang of Four";3;1;"2016-01-01";0
"A Brief History of the Twentieth Century";"Gang of Four";4;1;"1990-01-01";0
"100 Flowers Bloom";"Gang of Four";4;1;"1998-01-01";0
"77–81";"Gang of Four";4;1;"2021-03-05";0
"New York Dolls";"New York Dolls";1;1;"1973-07-27";0
"Too Much Too Soon";"New York Dolls";1;1;"1974-05-10";0
"One Day It Will Please Us to Remember Even This";"New York Dolls";1;1;"2006-07-25";0
"Cause I Sez So";"New York Dolls";1;1;"2009-05-05";0
"Dancing Backward in High Heels";"New York Dolls";1;1;"2011-03-15";0
"Lipstick Killers – The Mercer Street Sessions 1972";"New York Dolls";4;1;"1981-01-01";0
"Seven Day Weekend";"New York Dolls";4;1;"1992-01-01";0
"Actress: Birth of The New York Dolls";"New York Dolls";4;1;"2000-01-01";0
"Endless Party";"New York Dolls";4;1;"2000-01-01";0
"Very Best of New York Dolls";"New York Dolls";4;1;"1977-01-01";0
"Night of the Living Dolls";"New York Dolls";4;1;"1985-01-01";0
"The Best of the New York Dolls";"New York Dolls";4;1;"1985-01-01";0
"Rock'n Roll";"New York Dolls";4;1;"1994-01-01";0
"The Glam Rock Hits";"New York Dolls";4;1;"1999-01-01";0
"Great Big Kiss";"New York Dolls";4;1;"2002-01-01";0
"Looking For A Kiss";"New York Dolls";4;1;"2003-01-01";0
"Manhattan Mayhem";"New York Dolls";4;1;"2003-01-01";0
"20th Century Masters – The Millennium Collection: The Best of New York Dolls";"New York Dolls";4;1;"2003-01-01";0
"Red Patent Leather";"New York Dolls";3;1;"1984-01-01";0
"Paris Le Trash";"New York Dolls";3;1;"1993-01-01";0
"Live In Concert, Paris 1974";"New York Dolls";3;1;"1998-01-01";0
"The Glamorous Life Live";"New York Dolls";3;1;"1999-01-01";0
"From Paris with Love (L.U.V)";"New York Dolls";3;1;"2002-01-01";0
"Morrissey Presents: The Return Of New York Dolls Live From Royal Festival Hall";"New York Dolls";3;1;"2004-01-01";0
"Live At the Filmore East";"New York Dolls";3;1;"2008-01-01";0